M2,M2v,ER,RGDP,CPI
11918,7.1,1.91,3.56,1.76718
12095,7.5,1.96,3.66,1.77072
12836,9.2,2.03,4.56,1.77426
12795,7.9,2.04,4.1,1.79733
13116,7.7,2.05,3.92,1.79733
13256,8.2,2.06,4.25,1.79733
13690,7.9,2.1,4.22,1.78115
13568,8.2,2.18,4.32,1.78471
14142,9.1,2.18,4.37,1.85253
14236,9.9,3.42,4.39,1.96739
14539,9.1,3.43,4.2,2.02641
15432,11.3,3.43,5.09,2.09328
14880,7.6,3.43,3.47,2.12468
15090,8.1,3.47,3.59,2.14593
15631,9.2,3.77,4.08,2.16739
16352,8.6,3.93,3.94,2.21724
17161,7.8,3.92,3.67,2.27045
18259,8.3,3.95,4.1,2.27272
18497,8.8,4,4.42,2.24999
19340,8.8,4.46,4.42,2.27249
20019,9.2,4.46,4.73,2.30431
20401,8.7,4.47,4.71,2.32966
20553,8.1,4.63,4.32,2.39722
21714,9.3,5.07,4.8,2.49550
