wind_direction_sin,wind_direction_cos,wind_speed,wave_height
-0.38,0.92,7,1.8
-0.38,0.92,6,1.8
-0.38,0.92,8,1.5
0.38,0.92,6,1.2
1,0,1,0.3
0.71,-0.71,10,0.9
0.71,-0.71,6,1.3
0,1,5,0.5
0.38,-0.92,3,1.3
0,1,5,0.8
0,1,8,1.3
0.38,0.92,15,1.8
0.38,0.92,11,1.7
0.38,0.92,10,1.8
0.38,0.92,10,1.6
0.38,0.92,12,1.6
0.38,0.92,10,1.8
0.38,-0.92,13,1.9
0.71,-0.71,10,1.7
0.71,-0.71,7,1.6
0.71,-0.71,5,1.3
0.38,-0.92,4,0.7
0.71,-0.71,5,0.5
0.71,-0.71,6,0.3
0.38,0.92,3,0.8
0.38,0.92,6,1.1
0.38,0.92,7,1.3
0.38,0.92,7,1.3
0.92,-0.38,9,1.2
0.92,-0.38,10,1.5
0.38,0.92,5,0.8
0.38,0.92,5,0.6
-1,0,5,2.9
0,1,5,0.9
-0.38,-0.92,12,4.2
-0.38,-0.92,12,4.6
0,-1,7,2.7
-0.38,0.92,5,1.3
0.71,-0.71,4,0.6
0.71,-0.71,5,0.8
0.38,-0.92,3,1.3
-0.71,0.71,10,2.6
-0.71,0.71,7,2.9
-0.71,0.71,3,0.6
-0.92,0.38,5,1.1
-0.38,0.92,6,1.1
0.71,-0.71,10,1.3
0.71,-0.71,7,0.7
0.71,-0.71,8,1
0.71,-0.71,8,1.1
0.38,0.92,9,1.3
0.38,0.92,6,1.4
0.38,0.92,3,0.6
0.38,0.92,6,0.9
0.38,0.92,9,1.3
0.38,0.92,10,1.3
0.38,0.92,6,1.3
0.38,0.92,7,0.9
0.38,0.92,10,1.5
0.38,0.92,8,1.3
0.38,0.92,6,0.8
0.38,0.92,8,0.9
0.38,0.92,8,0.8
0.38,-0.92,1,0.5
0,-1,2,0.3
0.71,-0.71,6,0.6
0.71,-0.71,5,0.4
0.38,-0.92,4,0.8
0.71,-0.71,4,0.4
0.71,-0.71,8,0.6
0.71,-0.71,7,0.8
0.38,-0.92,3,0.5
0.38,-0.92,4,0.6
0.38,-0.92,3,0.8
0.71,-0.71,10,1.3
0.71,-0.71,6,1.3
0.71,-0.71,7,0.5
0.71,-0.71,11,1.5
-0.71,0.71,5,1.3
-0.71,0.71,5,1.2
0,-1,2,0.3
0.71,-0.71,5,0.7
-0.71,0.71,2,0.3
-0.92,0.38,3,1.3
0,1,5,1.2
-0.92,0.38,1,0.5
0.38,-0.92,5,0.4
-0.71,-0.71,2,0.1
0.71,0.71,3,0.1
0,-1,5,0.7
-0.71,-0.71,1,0.1
0.71,-0.71,2,0.1
0.71,0.71,3,0.4
-0.71,-0.71,3,0.4
-0.38,0.92,8,1.6
-0.71,0.71,5,1
0.71,-0.71,8,1
0.71,-0.71,7,0.8
0,1,1,0.1
0.38,0.92,3,0.4
-1,0,3,1
0,-1,2,0.9
0.38,-0.92,3,0.7
0.38,-0.92,4,0.7
-0.92,0.38,5,1.3
-0.92,0.38,5,1.4
-0.92,0.38,4,1.5
-0.71,0.71,8,1.8
-0.71,0.71,5,2.1
0.38,-0.92,6,0.6
-0.71,0.71,4,1.3
0,-1,4,0.4
0,-1,3,0.8
0.71,-0.71,9,1.3
0,-1,3,0.4
0,-1,3,0.5
0.38,0.92,3,0.4
0.38,0.92,4,0.6
-1,0,2,1.3
1,0,1,0.3
0,1,5,0.7
-0.71,0.71,4,1.3
-0.71,0.71,4,1.3
-0.38,-0.92,7,1.5
-0.71,0.71,4,1.4
0,1,7,1.5
-0.38,0.92,3,0.7
0,1,3,0.6
-0.92,0.38,3,1.3
0.38,0.92,5,0.7
0.71,0.71,5,1.1
0.71,0.71,5,1.1
0.71,0.71,3,0.6
1,0,2,0.3
-0.92,0.38,1,0.4
1,0,4,0.5
-0.38,0.92,5,1.1
-0.38,0.92,7,1
0.38,0.92,3,0.4
0.38,0.92,8,1.6
0.38,0.92,5,0.7
-0.92,0.38,2,0.5
0.71,0.71,5,0.6
1,0,1,0.1
-0.71,0.71,3,0.9
0.71,0.71,3,0.6
0.71,0.71,2,0.8
0.71,0.71,3,0.5
0.38,0.92,4,1
0.71,0.71,2,0.3
0.71,0.71,7,1.3
0.71,0.71,2,0.6
-0.71,-0.71,5,1.1
-0.92,-0.38,4,3.6
0.71,0.71,5,1.6
0.71,0.71,5,0.8
0.71,0.71,2,0.8
0.38,-0.92,9,1.4
0.38,-0.92,9,1.8
0,-1,6,1.4
-0.71,0.71,4,1.5
0,1,8,2.4
0.38,0.92,10,2
0.71,0.71,5,1.3
0.38,0.92,4,1
0.38,0.92,8,1.3
0,1,7,1.3
0,1,5,1.5
0,1,7,1.3
0,1,5,1.5
0.38,-0.92,7,1.3
0.38,-0.92,10,1.3
-1,0,4,1.6
0.71,-0.71,8,0.8
0.71,-0.71,7,0.8
0.38,0.92,1,1
0.38,0.92,7,1
0.38,0.92,5,1
0.71,0.71,8,1.5
0.38,0.92,7,1.2
0.38,0.92,7,1.1
0.71,0.71,5,0.8
0.38,-0.92,8,1.3
0.38,-0.92,9,1.3
0.38,-0.92,8,1.3
0.38,-0.92,5,0.9
0.38,-0.92,7,0.9
0.38,-0.92,4,0.8
0.38,-0.92,3,0.5
0.38,-0.92,6,0.9
