dirt,damp,biomass
300.00,58.34,29.458
430.00,68,59.485
440.00,67.76,15.304
270.00,50.38,33.220
360.00,52.81,9.227
660.00,66.62,77.336
1800.00,69.68,7.269
2460.00,72.61,13.171
3080.00,74.02,19.493
2200.00,63.5,6.000
2720.00,57.46,7.321
1280.00,65.46,6.639
2590.00,55.32,0.000
600.00,38.04,31.367
560.00,40.22,21.409
640.00,50.92,7.563
310.00,60.74,21.939
2.00,28.39,22.346
320.00,48.54,53.850
10.00,28.15,279.901
50.00,34.71,70.162
1960.00,76.82,110.321
1560.00,68.84,52.478
970.00,65.06,6.094
640.00,65.56,15.993
5.50,28.44,41.804
1.80,27.68,309.257
400.00,53.28,68.568
180.00,44.19,43.552
320.00,53.89,26.030
200.00,53.82,4.181
140.00,35.55,29.495
10.00,29.74,14.892
160.00,54.51,37.062
10.00,34.35,131.979
4.00,19.59,10.342
2.00,23.7,86.262
3.00,24.82,60.867
330.00,78.47,83.856
260.00,73.14,102.279
160.00,53.03,14.594
120.00,46.76,70.524
40.00,45.55,29.509
30.00,51.36,11.673
240.00,46.85,12.614
1340.00,64.56,6.829
1620.00,65.92,7.558
2020.00,71.81,366.339
