RGDP,RGDP-1,R-2,RINV-1,RINV
30.39735,30.39735,30.10000,5.031255,5.031255
30.39735,30.39735,30.10000,5.031255,5.031255
30.39735,30.39735,30.10000,5.031255,5.031255
30.39735,30.39735,30.10000,5.031255,5.031255
30.39735,30.39735,24.50000,5.031255,5.031255
34.17319,30.39735,13.50000,5.031255,6.461295
39.31626,34.17319,15.20000,6.461295,7.573521
37.17066,39.31626,17.30000,7.573521,5.812761
27.35676,37.17066,10.20000,5.812761,4.655113
27.33881,27.35676,6.500000,4.655113,4.409480
30.67452,27.33881,8.400000,4.409480,6.070268
33.11495,30.67452,9.000000,6.070268,6.163638
23.85455,33.11495,7.000000,6.163638,3.809929
28.11809,23.85455,5.400000,3.809929,3.927480
34.98267,28.11809,5.300000,3.927480,5.879672
33.82206,34.98267,5.000000,5.879672,6.405920
24.91773,33.82206,4.300000,6.405920,3.696480
27.33544,24.91773,3.600000,3.696480,2.859484
29.86212,27.33544,3.400000,2.859484,5.227556
30.01894,29.86212,3.900000,5.227556,6.428300
23.73578,30.01894,4.000000,6.428300,3.429180
27.52637,23.73578,4.800000,3.429180,3.231632
30.82874,27.52637,5.400000,3.231632,5.272109
30.82874,30.82874,5.050000,5.272109,5.272109
