RM2,RGDP,R-1,R
9.369325,30.39735,30.10000,30.10000
12.44622,30.39735,30.10000,24.50000
19.31445,30.39735,24.50000,13.50000
15.65108,30.39735,13.50000,15.20000
10.08055,30.39735,15.20000,17.30000
10.81114,34.17319,17.30000,10.20000
10.95733,39.31626,10.20000,6.500000
9.182783,37.17066,6.500000,8.400000
7.803533,27.35676,8.400000,9.000000
7.705751,27.33881,9.000000,7.000000
7.414167,30.67452,7.000000,5.400000
8.321647,33.11495,5.400000,5.300000
8.427963,23.85455,5.300000,5.000000
9.546802,28.11809,5.000000,4.300000
10.55100,34.98267,4.300000,3.600000
10.45256,33.82206,3.600000,3.400000
10.49584,24.91773,3.400000,3.900000
10.67909,27.33544,3.900000,4.000000
11.33617,29.86212,4.000000,4.800000
11.00162,30.01894,4.800000,5.400000
10.54198,23.73578,5.400000,5.050000
11.72734,27.52637,5.050000,4.680000
12.70934,30.82874,4.680000,4.200000
12.70934,30.82874,4.200000,4.200000
